2023,1,0,0,44
2023,1,1,4,4
2023,1,5,9,5
2023,1,10,14,5
2023,1,15,19,15
2023,1,20,24,24
2023,1,25,29,21
2023,1,30,34,45
2023,1,35,39,77
2023,1,40,44,100
2023,1,45,49,144
2023,1,50,54,246
2023,1,55,59,440
2023,1,60,64,688
2023,1,65,69,842
2023,1,70,74,1283
2023,1,75,79,1960
2023,1,80,84,2475
2023,1,85,89,2856
2023,1,90,150,3709
2023,2,0,0,55
2023,2,1,4,12
2023,2,5,9,4
2023,2,10,14,8
2023,2,15,19,14
2023,2,20,24,30
2023,2,25,29,42
2023,2,30,34,73
2023,2,35,39,81
2023,2,40,44,125
2023,2,45,49,200
2023,2,50,54,352
2023,2,55,59,492
2023,2,60,64,754
2023,2,65,69,1023
2023,2,70,74,1586
2023,2,75,79,2290
2023,2,80,84,2804
2023,2,85,89,3184
2023,2,90,150,4252
2023,3,0,0,50
2023,3,1,4,9
2023,3,5,9,4
2023,3,10,14,8
2023,3,15,19,18
2023,3,20,24,14
2023,3,25,29,37
2023,3,30,34,72
2023,3,35,39,116
2023,3,40,44,147
2023,3,45,49,191
2023,3,50,54,329
2023,3,55,59,500
2023,3,60,64,703
2023,3,65,69,940
2023,3,70,74,1423
2023,3,75,79,2104
2023,3,80,84,2511
2023,3,85,89,2923
2023,3,90,150,3705
2023,4,0,0,56
2023,4,1,4,5
2023,4,5,9,5
2023,4,10,14,8
2023,4,15,19,11
2023,4,20,24,20
2023,4,25,29,38
2023,4,30,34,63
2023,4,35,39,80
2023,4,40,44,141
2023,4,45,49,181
2023,4,50,54,346
2023,4,55,59,483
2023,4,60,64,641
2023,4,65,69,882
2023,4,70,74,1294
2023,4,75,79,1884
2023,4,80,84,2231
2023,4,85,89,2583
2023,4,90,150,3185
2023,5,0,0,59
2023,5,1,4,11
2023,5,5,9,5
2023,5,10,14,6
2023,5,15,19,23
2023,5,20,24,21
2023,5,25,29,39
2023,5,30,34,43
2023,5,35,39,94
2023,5,40,44,136
2023,5,45,49,178
2023,5,50,54,266
2023,5,55,59,454
2023,5,60,64,641
2023,5,65,69,872
2023,5,70,74,1137
2023,5,75,79,1836
2023,5,80,84,2156
2023,5,85,89,2427
2023,5,90,150,3008
2023,6,0,0,45
2023,6,1,4,4
2023,6,5,9,5
2023,6,10,14,13
2023,6,15,19,14
2023,6,20,24,21
2023,6,25,29,41
2023,6,30,34,54
2023,6,35,39,95
