agerange-year,2019,2020,2021,2022,2023
Age:0-44y,15349,15566,16947,16448,17409
Age:45-64y,53566,60159,63439,58702,59916
Age:65-150y,373669,430128,412414,407709,414590
Age:0-150y,442584,505853,492800,482859,491915
